0	6753
0	6959
0	10170
0	12412
0	19533
1	2650
1	6406
1	10705
1	11340
1	12211
1	14053
1	19182
2	725
2	1216
2	3988
2	5154
2	7014
2	11307
2	11491
2	12568
2	13237
2	14006
2	14830
2	15408
2	16097
2	17155
2	19097
2	19270
3	2614
3	5113
3	10583
3	11954
3	14073
3	17656
3	17892
3	19349
4	2655
4	3755
4	9162
4	9424
4	11491
4	12719
4	13401
4	14388
4	14690
4	18459
5	642
5	724
5	2638
5	3253
5	4409
5	9443
6	931
6	1243
6	12734
6	14435
6	14481
7	2045
7	8946
7	9166
7	10811
7	16940
8	1245
8	3136
8	3491
8	9287
8	18525
8	19154
9	3894
9	5431
9	8262
9	14907
9	15477
9	19182
10	294
11	6457
11	6551
11	6975
11	12228
11	15450
12	1489
12	7408
12	8271
12	9854
12	11362
12	11982
12	15214
13	3390
13	10884
13	12631
13	16811
13	19182
14	2370
14	9100
14	14006
15	508
15	3838
15	3859
15	7075
15	7953
15	11871
15	12997
15	14443
15	14654
15	14794
15	15435
15	15850
15	17426
15	17642
15	17964
15	18916
15	19379
16	2437
16	2460
16	4174
16	9284
16	17773
17	1132
17	1646
17	3121
17	4658
17	5076
17	6117
17	7485
17	7718
17	8537
17	12072
17	13320
17	13408
17	14088
17	14103
17	14457
17	14763
17	17857
18	3325
18	6708
19	200
19	2259
19	7651
20	3802
20	3859
20	10654
20	18107
20	19072
21	1273
21	2284
21	2907
21	3819
21	5682
21	7566
21	8615
21	8820
21	9384
21	9576
21	15114
22	7448
22	12418
23	1271
23	2907
24	11084
25	1880
25	10889
25	12244
25	16411
25	18711
26	2306
26	16695
27	6705
28	621
28	6117
28	6162
28	7646
28	12550
28	16300
28	17819
29	1520
29	1696
29	9211
29	9326
29	13030
29	19178
30	626
30	2458
30	3859
30	5348
30	8685
30	9782
30	12987
30	14034
30	14603
30	14961
30	19976
31	3147
31	6117
31	10170
31	10399
31	10878
31	17586
32	678
33	1117
33	3926
33	4409
33	5427
33	9279
33	15122
34	2710
34	6768
34	8643
34	17635
34	17733
35	1273
35	2907
35	6363
35	9180
35	10576
35	15114
35	18580
35	18845
36	2119
36	5500
36	6792
36	11760
36	15649
36	16182
37	12354
37	16485
37	17636
37	18627
38	343
38	11348
39	3926
39	4046
39	4409
39	4667
39	12147
39	13247
39	13345
39	14668
39	14979
39	15270
39	18463
39	19178
40	8202
41	13092
42	3667
42	5661
42	10490
43	2437
43	6468
43	6768
43	11985
43	16619
44	490
44	16167
44	17345
45	3279
45	4940
45	13053
45	14762
45	18733
46	2861
46	6232
46	7402
46	13522
46	13666
46	17321
46	19702
47	6471
47	9756
47	12904
47	18953
48	4156
48	4294
48	7266
48	7753
48	16615
48	18180
48	19252
49	14018
49	14308
50	8865
50	11491
50	12719
50	14388
50	15797
51	3985
51	7231
51	9756
52	5216
52	7606
52	10170
52	12044
52	13570
52	17483
52	18689
53	332
53	584
53	724
53	1049
53	1245
53	2130
53	2437
53	2518
53	3136
53	3325
53	3491
53	3766
53	3807
53	3825
53	3859
53	3926
53	4112
53	4409
53	4667
53	4668
53	4967
53	5034
53	5257
53	5299
53	5424
53	6117
53	7196
